trial,pFinf,pFnoninf,pO,past_rew_ch,past_rew_unch,past_Finf_ch,past_Finf_unch,past_Fnoninf_ch,past_Fnoninf_unch,past_O_ch,past_O_unch,subj,rts
89.0,-0.7731898882334817,0.7731898882334817,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.6698999999999999
90.0,0.44183275227903906,0.44183275227903906,1.0986122886681093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.9549
91.0,0.8472978603872034,0.7731898882334817,2.197224577336219,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3639.0,1.2422
92.0,-0.7731898882334817,-0.3677247801253173,-1.945910149055313,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3639.0,1.0239
93.0,0.7731898882334817,0.8472978603872034,2.197224577336219,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,1.2980999999999998
94.0,0.3677247801253173,-0.44183275227903906,0.25131442828090617,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3639.0,1.089
95.0,-0.44183275227903906,0.8472978603872034,-0.25131442828090617,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3639.0,0.7377
96.0,0.8472978603872034,-0.8472978603872034,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3639.0,1.0884
97.0,-0.3677247801253173,-0.44183275227903906,-2.197224577336219,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3639.0,0.852
98.0,-0.3677247801253173,-0.8472978603872034,-2.197224577336219,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3639.0,0.8005
99.0,-0.3677247801253173,-0.3677247801253173,-1.945910149055313,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,0.6247
100.0,0.8472978603872034,-0.44183275227903906,-0.25131442828090617,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3639.0,0.9711000000000001
101.0,0.44183275227903906,-0.8472978603872034,0.25131442828090617,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3639.0,0.7674
102.0,0.3677247801253173,-0.7731898882334817,-2.197224577336219,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3639.0,1.2034
103.0,0.7731898882334817,-0.44183275227903906,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3639.0,1.1377000000000002
104.0,0.44183275227903906,-0.3677247801253173,-0.25131442828090617,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3639.0,1.0485
